bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GMES LLC | First Lien Senior Secured Term Loan,GMES LLC |,GMES LLC |,First Lien,,,,8298000.0,8280000.0,8380000.0,,99.02,5.25,9.0,,,False,,,USD,8298000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GMES LLC | Revolver,GMES LLC | Revolver,GMES LLC | Revolver,,,,,194000.0,192000.0,204000.0,,95.1,5.25,9.0,,,False,,,USD,194000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Lockmasters Security Intermediate, Inc. | First Lien Senior Secured Term Loan",Lockmasters Security Intermediate,Lockmasters Security Intermediate,First Lien,,,,3215000.0,3206000.0,3223000.0,,99.75,5.0,8.7,,,False,,,USD,3215000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Lockmasters Security Intermediate, Inc. | Revolver","Lockmasters Security Intermediate, Inc. | Revolver","Lockmasters Security Intermediate, Inc. | Revolver",,,,,-2000.0,-3000.0,0.0,,66.67,5.0,8.7,,,False,,,USD,-2000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"BCTS Parent, LLC | First Lien Senior Secured Term Loan",BCTS Parent,BCTS Parent,First Lien,,,,1215000.0,1237000.0,1237000.0,,98.22,4.75,7.3,,,False,,,USD,1215000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"BCTS Parent, LLC | Revolver","BCTS Parent, LLC | Revolver","BCTS Parent, LLC | Revolver",,,,,245000.0,249000.0,251000.0,,97.61,4.75,7.3,,,False,,,USD,245000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,HTI Technology & Industries | First Lien Senior Secured Term Loan,HTI Technology & Industries |,HTI Technology & Industries |,First Lien,,,,10959000.0,11050000.0,11091000.0,,98.81,8.5,12.4,,,False,,,USD,10959000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,HTI Technology & Industries | Revolver,HTI Technology & Industries | Revolver,HTI Technology & Industries | Revolver,,,,,-8000.0,-3000.0,0.0,,266.67,8.5,12.4,,,False,,,USD,-8000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Lifestyle Intermediate II, LLC | First Lien Senior Secured Term Loan",Lifestyle Intermediate II,Lifestyle Intermediate II,First Lien,,,,1812000.0,2879000.0,2879000.0,,62.94,7.0,11.0,,,False,,,USD,1812000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Main Line Commercial Pools LLC | First Lien Senior Secured Term Loan,Main Line Commercial Pools LLC |,Main Line Commercial Pools LLC |,First Lien,,,,1992000.0,1994000.0,2047000.0,,97.31,5.25,8.9,,,False,,,USD,1992000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Main Line Commercial Pools LLC | Revolver,Main Line Commercial Pools LLC | Revolver,Main Line Commercial Pools LLC | Revolver,,,,,-7000.0,-7000.0,0.0,,100.0,5.25,8.9,,,False,,,USD,-7000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Momentum Textiles, LLC | First Lien Senior Secured Term Loan",Momentum Textiles,Momentum Textiles,First Lien,,,,7180000.0,7185000.0,7236000.0,,99.23,5.5,9.2,,,False,,,USD,7180000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Momentum Textiles, LLC | Revolver","Momentum Textiles, LLC | Revolver","Momentum Textiles, LLC | Revolver",,,,,-7000.0,-6000.0,0.0,,116.67,5.5,9.2,,,False,,,USD,-7000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Renovation Parent Holdings, LLC | First Lien Senior Secured Term Loan",Renovation Parent Holdings,Renovation Parent Holdings,First Lien,,,,4648000.0,4620000.0,4648000.0,,100.0,5.0,8.8,,,False,,,USD,4648000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Team Air Distributing, LLC | Subordinated Term Loan",Team Air Distributing,Team Air Distributing,Subordinated,,,,737000.0,803000.0,812000.0,,90.76,,,,14.0,True,,,USD,737000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Terrybear, Inc. | Subordinated Term Loan",Terrybear,Terrybear,Subordinated,,,,166000.0,297000.0,300000.0,,55.33,,,,14.0,True,,,USD,166000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Victoria Bidco Limited | First Lien Senior Secured Term Loan,Victoria Bidco Limited |,Victoria Bidco Limited |,First Lien,,,,3960000.0,4107000.0,4138000.0,,95.7,6.5,10.2,,,False,,,USD,3960000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Vista Acquisition, LLC | First Lien Senior Secured Term Loan",Vista Acquisition,Vista Acquisition,First Lien,,,,8669000.0,8671000.0,8767000.0,,98.88,5.0,8.6,,,False,,,USD,8669000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Vista Acquisition, LLC | Revolver","Vista Acquisition, LLC | Revolver","Vista Acquisition, LLC | Revolver",,,,,-9000.0,-9000.0,0.0,,100.0,5.0,8.6,,,False,,,USD,-9000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Bidwax | First Lien Senior Secured Term Loan,Bidwax |,Bidwax |,First Lien,,,,7971000.0,8201000.0,8003000.0,,99.6,6.25,8.6,,,False,,,USD,7971000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"CCFF Buyer, LLC | First Lien Senior Secured Term Loan",CCFF Buyer,CCFF Buyer,First Lien,,,,5990000.0,5929000.0,6022000.0,,99.47,5.0,8.6,,,False,,,USD,5990000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"CCFF Buyer, LLC | Revolver","CCFF Buyer, LLC | Revolver","CCFF Buyer, LLC | Revolver",,,,,-5000.0,-13000.0,0.0,,38.46,5.0,8.6,,,False,,,USD,-5000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,David Wood Baking UK Ltd | First Lien Senior Secured Term Loan,David Wood Baking UK Ltd |,David Wood Baking UK Ltd |,First Lien,,,,872000.0,864000.0,944000.0,,92.37,11.0,14.7,,,False,,,USD,872000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Ice House America, L.L.C. | First Lien Senior Secured Term Loan",Ice House America,Ice House America,First Lien,,,,4409000.0,4508000.0,4577000.0,,96.33,6.0,9.7,,,False,,,USD,4409000.0
