bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | PPV Intermediate Holdings, LLC | Healthcare & Pharmaceuticals 2","PPV Intermediate Holdings, LLC","PPV Intermediate Holdings, LLC",First Lien,Healthcare & Pharmaceuticals 2,,,15872000.0,15831000.0,15872000.0,,100.26,5.75,9.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | PPV Intermediate Holdings, LLC | Healthcare & Pharmaceuticals 3","PPV Intermediate Holdings, LLC","PPV Intermediate Holdings, LLC",First Lien,Healthcare & Pharmaceuticals 3,,,205000.0,206000.0,206000.0,,99.51,6.0,9.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Project Castle, Inc. | Capital Equipment","Project Castle, Inc.","Project Castle, Inc.",First Lien,Capital Equipment,,,4375000.0,7666000.0,8203000.0,,57.07,5.5,9.36,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Prophix Software Inc. (Canada) | Software 1,Prophix Software Inc. (Canada),Prophix Software Inc. (Canada),First Lien,Software 1,,,1342000.0,1346000.0,1350000.0,,99.7,6.0,9.69,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Prophix Software Inc. (Canada) | Software 2,Prophix Software Inc. (Canada),Prophix Software Inc. (Canada),First Lien,Software 2,,,17919000.0,17933000.0,17995000.0,,99.92,6.0,9.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Propio LS, LLC | Healthcare & Pharmaceuticals","Propio LS, LLC","Propio LS, LLC",First Lien,Healthcare & Pharmaceuticals,,,11867000.0,12003000.0,12108000.0,,98.87,4.75,8.45,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | PROS Parent, Inc. | Transportation: Consumer","PROS Parent, Inc.","PROS Parent, Inc.",First Lien,Transportation: Consumer,,,10457000.0,10456000.0,10488000.0,,100.01,4.75,8.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | PXO Holdings I Corp. | Chemicals, Plastics & Rubber",PXO Holdings I Corp.,PXO Holdings I Corp.,First Lien,"Chemicals, Plastics & Rubber",,,22429000.0,22780000.0,22910000.0,,98.46,5.5,9.19,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | QBS Parent, Inc. | Energy: Oil & Gas","QBS Parent, Inc.","QBS Parent, Inc.",First Lien,Energy: Oil & Gas,,,673000.0,740000.0,791000.0,,90.95,4.5,8.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Radwell Parent, LLC | Wholesale","Radwell Parent, LLC","Radwell Parent, LLC",First Lien,Wholesale,,,20472000.0,20325000.0,20579000.0,,100.72,5.5,9.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Rialto Management Group, LLC | Diversified Financial Services","Rialto Management Group, LLC","Rialto Management Group, LLC",First Lien,Diversified Financial Services,,,14961000.0,14872000.0,14993000.0,,100.6,4.75,8.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Rotation Buyer, LLC | Capital Equipment","Rotation Buyer, LLC","Rotation Buyer, LLC",First Lien,Capital Equipment,,,4510000.0,4591000.0,4643000.0,,98.24,4.75,8.45,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Saguaro Buyer, LLC | Leisure Products & Services","Saguaro Buyer, LLC","Saguaro Buyer, LLC",First Lien,Leisure Products & Services,,,5286000.0,5292000.0,5361000.0,,99.89,4.5,8.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | SCHP Purchaser, INC | Healthcare & Pharmaceuticals","SCHP Purchaser, INC","SCHP Purchaser, INC",First Lien,Healthcare & Pharmaceuticals,,,-26000.0,-29000.0,0.0,,89.66,4.5,8.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | SCP Eye Care HoldCo, LLC | Healthcare & Pharmaceuticals","SCP Eye Care HoldCo, LLC","SCP Eye Care HoldCo, LLC",First Lien,Healthcare & Pharmaceuticals,,,11089000.0,11120000.0,11089000.0,,99.72,5.5,9.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Seahawk Bidco, LLC | Consumer Services","Seahawk Bidco, LLC","Seahawk Bidco, LLC",First Lien,Consumer Services,,,12691000.0,12671000.0,12793000.0,,100.16,4.75,8.43,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Secretariat Advisors LLC | Construction & Building,Secretariat Advisors LLC,Secretariat Advisors LLC,First Lien,Construction & Building,,,-43000.0,-9000.0,0.0,,477.78,4.0,7.7,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | SIG Parent Holdings, LLC | Diversified Financial Services","SIG Parent Holdings, LLC","SIG Parent Holdings, LLC",First Lien,Diversified Financial Services,,,3760000.0,3762000.0,3931000.0,,99.95,5.0,8.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Sigma Irish Acquico Limited (Ireland) | Diversified Financial Services 1,Sigma Irish Acquico Limited (Ireland),Sigma Irish Acquico Limited (Ireland),First Lien,Diversified Financial Services 1,,,7704000.0,7306000.0,6766000.0,,105.45,5.25,7.38,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Sigma Irish Acquico Limited (Ireland) | Diversified Financial Services 2,Sigma Irish Acquico Limited (Ireland),Sigma Irish Acquico Limited (Ireland),First Lien,Diversified Financial Services 2,,,-34000.0,-33000.0,0.0,,103.03,5.25,8.88,,,False,,,USD,
