bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P., Series A units","Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.","Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Common Equity,,,,12000000.0,13300000.0,,817194.0,90.23,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Diligent Corporation and Diligent Preferred Issuer, Inc., First lien senior secured revolving loan","Diligent Corporation and Diligent Preferred Issuer, Inc.","Diligent Corporation and Diligent Preferred Issuer, Inc.",First Lien,,,,500000.0,500000.0,500000.0,,100.0,5.0,8.67,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Diligent Corporation and Diligent Preferred Issuer, Inc., First lien senior secured loan","Diligent Corporation and Diligent Preferred Issuer, Inc.","Diligent Corporation and Diligent Preferred Issuer, Inc.",First Lien,,,,22800000.0,23400000.0,23500000.0,,97.02,5.0,8.67,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Diligent Corporation and Diligent Preferred Issuer, Inc., Preferred stock","Diligent Corporation and Diligent Preferred Issuer, Inc.","Diligent Corporation and Diligent Preferred Issuer, Inc.",Preferred Equity,,,,20800000.0,21600000.0,,13140.0,96.3,,,,10.5,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Doxim Inc., First lien senior secured revolving loan",Doxim Inc.,Doxim Inc.,First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Doxim Inc., First lien senior secured loan",Doxim Inc.,Doxim Inc.,First Lien,,,,84500000.0,84500000.0,84500000.0,,100.0,6.5,10.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"DriveCentric Holdings, LLC., First lien senior secured loan","DriveCentric Holdings, LLC.","DriveCentric Holdings, LLC.",First Lien,,,,12100000.0,12100000.0,12100000.0,,100.0,4.5,8.19,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"DriveCentric Holdings, LLC., First lien senior secured loan 1","DriveCentric Holdings, LLC.","DriveCentric Holdings, LLC.",First Lien,,,,11600000.0,11600000.0,11600000.0,,100.0,4.5,8.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Echo Purchaser, Inc., First lien senior secured loan","Echo Purchaser, Inc.","Echo Purchaser, Inc.",First Lien,,,,11300000.0,11300000.0,11300000.0,,100.0,5.5,9.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc., First lien senior secured loan","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",First Lien,,,,34900000.0,35200000.0,35200000.0,,99.15,4.5,8.18,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. ad Eclipse Buyer, Inc., Preferred units","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. ad Eclipse Buyer, Inc.","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. ad Eclipse Buyer, Inc.",Preferred Equity,,,,7700000.0,7700000.0,,656.0,100.0,,,,12.5,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc., Class A common units","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",Common Equity,,,,500000.0,600000.0,,563.0,83.33,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Edition Holdings, Inc. and Enverus, Inc., First lien senior secured loan","Edition Holdings, Inc. and Enverus, Inc.","Edition Holdings, Inc. and Enverus, Inc.",First Lien,,,,74400000.0,75900000.0,75900000.0,,98.02,4.5,8.19,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Edmunds Govtech, Inc., First lien senior secured revolving loan","Edmunds Govtech, Inc.","Edmunds Govtech, Inc.",First Lien,,,,1700000.0,1700000.0,1700000.0,,100.0,3.75,7.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Edmunds Govtech, Inc., First lien senior secured loan","Edmunds Govtech, Inc.","Edmunds Govtech, Inc.",First Lien,,,,26500000.0,26500000.0,26500000.0,,100.0,4.75,8.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Elemica Parent, Inc., First lien senior secured loan","Elemica Parent, Inc.","Elemica Parent, Inc.",First Lien,,,,45000000.0,45900000.0,45900000.0,,98.04,5.25,8.92,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc., First lien senior secured loan","Elemica Parent, Inc. & EZ Elemica Holdings, Inc.","Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",First Lien,,,,110800000.0,113000000.0,113000000.0,,98.05,4.75,8.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc., Preferred equity","Elemica Parent, Inc. & EZ Elemica Holdings, Inc.","Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",Preferred Equity,,,,5000000.0,4600000.0,,4599.0,108.7,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P., First lien senior secured loan","EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.","EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",First Lien,,,,31400000.0,49700000.0,49900000.0,,62.93,4.5,8.29,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P., Partnership units","EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.","EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",LP Interest,,,,1900000.0,3000000.0,,5034483.0,63.33,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT, Limited partnership interest","eResearch Technology, Inc. and Astorg VII Co-Invest ERT","eResearch Technology, Inc. and Astorg VII Co-Invest ERT",LP Interest,,,,8000000.0,4500000.0,,3988000.0,177.78,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ESHA Intermediate, LLC, First lien senior secured loan","ESHA Intermediate, LLC","ESHA Intermediate, LLC",First Lien,,,,22100000.0,22300000.0,22300000.0,,99.1,4.75,8.43,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Extrahop Networks, Inc., First lien senior secured loan","Extrahop Networks, Inc.","Extrahop Networks, Inc.",First Lien,,,,3400000.0,3400000.0,3400000.0,,100.0,6.5,10.27,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Extrahop Networks, Inc., First lien senior secured loan 1","Extrahop Networks, Inc.","Extrahop Networks, Inc.",First Lien,,,,34700000.0,35100000.0,35100000.0,,98.86,6.5,10.27,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Extrahop Networks, Inc., First lien senior secured loan 2","Extrahop Networks, Inc.","Extrahop Networks, Inc.",First Lien,,,,3800000.0,3900000.0,3900000.0,,97.44,6.5,10.27,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Flexera Software LLC, First lien senior secured loan",Flexera Software LLC,Flexera Software LLC,First Lien,,,,18200000.0,18600000.0,18600000.0,,97.85,4.5,8.15,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Flexera Software LLC, First lien senior secured loan 1",Flexera Software LLC,Flexera Software LLC,First Lien,,,,6600000.0,6800000.0,6700000.0,,98.51,4.5,6.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Flexera Software LLC, First lien senior secured loan 2",Flexera Software LLC,Flexera Software LLC,First Lien,,,,118000000.0,120400000.0,120400000.0,,98.01,4.5,8.15,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Forescout Technologies, Inc., First lien senior secured loan","Forescout Technologies, Inc.","Forescout Technologies, Inc.",First Lien,,,,12000000.0,12000000.0,12000000.0,,100.0,4.5,8.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"GHP-VGS Purchaser LLC, First lien senior secured loan",GHP-VGS Purchaser LLC,GHP-VGS Purchaser LLC,First Lien,,,,14300000.0,14300000.0,14300000.0,,100.0,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"GI Ranger Intermediate LLC, First lien senior secured revolving loan",GI Ranger Intermediate LLC,GI Ranger Intermediate LLC,First Lien,,,,1300000.0,1400000.0,1400000.0,,92.86,6.0,9.85,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"GI Ranger Intermediate LLC, First lien senior secured loan",GI Ranger Intermediate LLC,GI Ranger Intermediate LLC,First Lien,,,,9100000.0,9800000.0,9800000.0,,92.86,6.0,9.85,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"GI Ranger Intermediate LLC, First lien senior secured loan 1",GI Ranger Intermediate LLC,GI Ranger Intermediate LLC,First Lien,,,,2800000.0,3100000.0,3100000.0,,90.32,6.0,9.85,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Goose Borrower, L.P., First lien senior secured loan","Goose Borrower, L.P.","Goose Borrower, L.P.",First Lien,,,,83100000.0,83900000.0,83900000.0,,99.05,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Guidepoint Security Holdings, LLC, First lien senior secured loan","Guidepoint Security Holdings, LLC","Guidepoint Security Holdings, LLC",First Lien,,,,7000000.0,7000000.0,7000000.0,,100.0,5.25,8.92,,,False,,,USD,
