bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Wrench Group LLC | First lien senior secured loan | Non-Affiliated,Wrench Group LLC,Wrench Group LLC,First Lien,,,,92568000.0,93017000.0,93503000.0,,99.0,4.75,,,,False,,,USD,92568000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Aurelia Netherlands B.V. | First lien senior secured EUR term loan | Non-Affiliated,Aurelia Netherlands B.V.,Aurelia Netherlands B.V.,First Lien,,,,73327000.0,72487000.0,64136000.0,,114.33,4.75,,,,False,,,USD,73327000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"CMG HoldCo, LLC (dba Crete United) | First lien senior secured loan | Non-Affiliated","CMG HoldCo, LLC (dba Crete United)","CMG HoldCo, LLC (dba Crete United)",First Lien,,,,1413000.0,1466000.0,1490000.0,,94.83,5.0,,,,False,,,USD,1413000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"CoolSys, Inc. | First lien senior secured loan | Non-Affiliated","CoolSys, Inc.","CoolSys, Inc.",First Lien,,,,9215000.0,11915000.0,12065000.0,,76.38,3.5,,,2.5,True,,,USD,9215000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,DuraServ LLC | First lien senior secured loan | Non-Affiliated,DuraServ LLC,DuraServ LLC,First Lien,,,,126039000.0,126986000.0,127959000.0,,98.5,5.0,,,,False,,,USD,126039000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,DuraServ LLC | First lien senior secured revolving loan | Non-Affiliated,DuraServ LLC,DuraServ LLC,First Lien,,,,6070000.0,6275000.0,6334000.0,,95.83,5.0,,,,False,,,USD,6070000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Gainsight, Inc. | First lien senior secured loan | Non-Affiliated","Gainsight, Inc.","Gainsight, Inc.",First Lien,,,,29747000.0,29999000.0,30123000.0,,98.75,5.5,,,,False,,,USD,29747000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Hercules Borrower, LLC (dba The Vincit Group) | First lien senior secured loan | Non-Affiliated","Hercules Borrower, LLC (dba The Vincit Group)","Hercules Borrower, LLC (dba The Vincit Group)",First Lien,,,,119306000.0,118999000.0,119306000.0,,100.0,4.75,,,,False,,,USD,119306000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Hercules Buyer, LLC (dba The Vincit Group) | Unsecured notes | Non-Affiliated","Hercules Buyer, LLC (dba The Vincit Group)","Hercules Buyer, LLC (dba The Vincit Group)",,,,,9582000.0,6462000.0,6316000.0,,148.28,,,,0.48,True,,,USD,9582000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"KPSKY Acquisition, Inc. (dba BluSky) | First lien senior secured loan | Non-Affiliated","KPSKY Acquisition, Inc. (dba BluSky)","KPSKY Acquisition, Inc. (dba BluSky)",First Lien,,,,38051000.0,40167000.0,42874000.0,,88.75,5.5,,,,False,,,USD,38051000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"KPSKY Acquisition, Inc. (dba BluSky) | First lien senior secured delayed draw term loan | Non-Affiliated","KPSKY Acquisition, Inc. (dba BluSky)","KPSKY Acquisition, Inc. (dba BluSky)",First Lien,,,,27000.0,30000.0,31000.0,,87.1,5.75,,,,False,,,USD,27000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Advancion Holdings, LLC (fka Aruba Investments Holdings, LLC) | Second lien senior secured loan | Non-Affiliated","Advancion Holdings, LLC (fka Aruba Investments Holdings, LLC)","Advancion Holdings, LLC (fka Aruba Investments Holdings, LLC)",Second Lien,,,,15098000.0,16245000.0,16500000.0,,91.5,7.75,,,,False,,,USD,15098000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,DCG ACQUISITION CORP. (dba DuBois Chemical) | First lien senior secured loan | Non-Affiliated,DCG ACQUISITION CORP. (dba DuBois Chemical),DCG ACQUISITION CORP. (dba DuBois Chemical),First Lien,,,,77863000.0,78255000.0,79048000.0,,98.5,5.0,,,,False,,,USD,77863000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Gaylord Chemical Company, L.L.C. | First lien senior secured loan | Non-Affiliated","Gaylord Chemical Company, L.L.C.","Gaylord Chemical Company, L.L.C.",First Lien,,,,180166000.0,179924000.0,180640000.0,,99.74,5.75,,,,False,,,USD,180166000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Rocket BidCo, Inc. (dba Recochem) | First lien senior secured revolving loan | Non-Affiliated","Rocket BidCo, Inc. (dba Recochem)","Rocket BidCo, Inc. (dba Recochem)",First Lien,,,,248978000.0,246043000.0,250229000.0,,99.5,4.75,,,,False,,,USD,248978000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Conair Holdings LLC | First lien senior secured loan | Non-Affiliated,Conair Holdings LLC,Conair Holdings LLC,First Lien,,,,10599000.0,11519000.0,12344000.0,,85.86,3.75,,,,False,,,USD,10599000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Conair Holdings LLC | Second lien senior secured loan | Non-Affiliated,Conair Holdings LLC,Conair Holdings LLC,Second Lien,,,,103276000.0,125520000.0,127896000.0,,80.75,7.5,,,,False,,,USD,103276000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Feradyne Outdoors, LLC | First lien senior secured loan | Non-Affiliated","Feradyne Outdoors, LLC","Feradyne Outdoors, LLC",First Lien,,,,34688000.0,78196000.0,85124000.0,,40.75,,,,6.75,True,,,USD,34688000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Foundation Consumer Brands, LLC | First lien senior secured loan | Non-Affiliated","Foundation Consumer Brands, LLC","Foundation Consumer Brands, LLC",First Lien,,,,15281000.0,15161000.0,15281000.0,,100.0,5.0,,,,False,,,USD,15281000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Lignetics Investment Corp. | First lien senior secured loan | Non-Affiliated,Lignetics Investment Corp.,Lignetics Investment Corp.,First Lien,,,,114820000.0,114696000.0,114820000.0,,100.0,5.5,,,,False,,,USD,114820000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"SWK BUYER, Inc. (dba Stonewall Kitchen) | First lien senior secured loan | Non-Affiliated","SWK BUYER, Inc. (dba Stonewall Kitchen)","SWK BUYER, Inc. (dba Stonewall Kitchen)",First Lien,,,,1322000.0,1417000.0,1448000.0,,91.3,5.25,,,,False,,,USD,1322000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"SWK BUYER, Inc. (dba Stonewall Kitchen) | First lien senior secured revolving loan | Non-Affiliated","SWK BUYER, Inc. (dba Stonewall Kitchen)","SWK BUYER, Inc. (dba Stonewall Kitchen)",First Lien,,,,65000.0,75000.0,77000.0,,84.42,5.25,,,,False,,,USD,65000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"WU Holdco, Inc. (dba PurposeBuilt Brands) | First lien senior secured loan | Non-Affiliated","WU Holdco, Inc. (dba PurposeBuilt Brands)","WU Holdco, Inc. (dba PurposeBuilt Brands)",First Lien,,,,92658000.0,92922000.0,93123000.0,,99.5,4.75,,,,False,,,USD,92658000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Arctic Holdco, LLC (dba Novvia Group) | First lien senior secured loan | Non-Affiliated","Arctic Holdco, LLC (dba Novvia Group)","Arctic Holdco, LLC (dba Novvia Group)",First Lien,,,,102071000.0,102459000.0,102842000.0,,99.25,5.25,,,,False,,,USD,102071000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Arctic Holdco, LLC (dba Novvia Group) | First lien senior secured revolving loan | Non-Affiliated","Arctic Holdco, LLC (dba Novvia Group)","Arctic Holdco, LLC (dba Novvia Group)",First Lien,,,,1934000.0,1960000.0,1987000.0,,97.33,5.25,,,,False,,,USD,1934000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Ascend Buyer, LLC (dba PPC Flexible Packaging) | First lien senior secured loan | Non-Affiliated","Ascend Buyer, LLC (dba PPC Flexible Packaging)","Ascend Buyer, LLC (dba PPC Flexible Packaging)",First Lien,,,,70650000.0,70598000.0,71434000.0,,98.9,5.25,,,,False,,,USD,70650000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Fortis Solutions Group, LLC | First lien senior secured loan | Non-Affiliated","Fortis Solutions Group, LLC","Fortis Solutions Group, LLC",First Lien,,,,36229000.0,36155000.0,36904000.0,,98.17,5.5,,,,False,,,USD,36229000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Indigo Buyer, Inc. (dba Inovar Packaging Group) | First lien senior secured loan | Non-Affiliated","Indigo Buyer, Inc. (dba Inovar Packaging Group)","Indigo Buyer, Inc. (dba Inovar Packaging Group)",First Lien,,,,14074000.0,13960000.0,14074000.0,,100.0,5.25,,,,False,,,USD,14074000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Pregis Topco LLC | Second lien senior secured loan 1 | Non-Affiliated,Pregis Topco LLC,Pregis Topco LLC,Second Lien,,,,25720000.0,25474000.0,25720000.0,,100.0,7.75,,,,False,,,USD,25720000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Pregis Topco LLC | Second lien senior secured loan 2 | Non-Affiliated,Pregis Topco LLC,Pregis Topco LLC,Second Lien,,,,150056000.0,148701000.0,150056000.0,,100.0,6.75,,,,False,,,USD,150056000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,ABB/Con-cise Optical Group LLC | First lien senior secured loan | Non-Affiliated,ABB/Con-cise Optical Group LLC,ABB/Con-cise Optical Group LLC,First Lien,,,,64467000.0,64284000.0,64629000.0,,99.75,7.5,,,,False,,,USD,64467000.0
