bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 1 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,46001000.0,45650000.0,46415000.0,,99.11,5.0,8.73,,,False,,,USD,46001000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 2 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,2901000.0,2878000.0,2931000.0,,98.98,5.0,8.67,,,False,,,USD,2901000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 3 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,1695000.0,1695000.0,1710000.0,,99.12,5.0,8.73,,,False,,,USD,1695000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 4 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,-3000.0,-1000.0,0.0,,300.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Arnott, LLC | One stop 1 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,4540000.0,4666000.0,4700000.0,,96.6,4.75,8.49,,,False,,,USD,4540000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Arnott, LLC | One stop 2 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,563000.0,585000.0,590000.0,,95.42,4.75,8.39,,,False,,,USD,563000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 1 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,2183000.0,2166000.0,2183000.0,,100.0,4.75,8.41,,,False,,,USD,2183000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 2 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,1274000.0,1265000.0,1274000.0,,100.0,4.75,8.48,,,False,,,USD,1274000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 3 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 4 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,243000.0,241000.0,243000.0,,100.0,4.75,8.41,,,False,,,USD,243000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 5 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,615000.0,593000.0,615000.0,,100.0,4.75,8.48,,,False,,,USD,615000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Covercraft Parent III, Inc. | Senior secured 1 | Non-Affiliated Issuer","Covercraft Parent III, Inc.","Covercraft Parent III, Inc.",First Lien,,,,4979000.0,6517000.0,6821000.0,,73.0,5.0,5.32,,3.5,True,,,USD,4979000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Covercraft Parent III, Inc. | Senior secured 2 | Non-Affiliated Issuer","Covercraft Parent III, Inc.","Covercraft Parent III, Inc.",First Lien,,,,1016000.0,1315000.0,1392000.0,,72.99,5.0,5.38,,3.5,True,,,USD,1016000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Covercraft Parent III, Inc. | Senior secured 3 | Non-Affiliated Issuer","Covercraft Parent III, Inc.","Covercraft Parent III, Inc.",First Lien,,,,138000.0,180000.0,188000.0,,73.4,5.0,8.67,,0.5,True,,,USD,138000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"North Haven Falcon Buyer, LLC | One stop 1 | Non-Affiliated Issuer","North Haven Falcon Buyer, LLC","North Haven Falcon Buyer, LLC",First Lien,,,,115000.0,115000.0,139000.0,,82.73,7.5,6.15,,5.0,True,,,USD,115000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"North Haven Falcon Buyer, LLC | One stop 2 | Non-Affiliated Issuer","North Haven Falcon Buyer, LLC","North Haven Falcon Buyer, LLC",First Lien,,,,115000.0,115000.0,139000.0,,82.73,7.5,6.14,,5.0,True,,,USD,115000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"North Haven Falcon Buyer, LLC | One stop 3 | Non-Affiliated Issuer","North Haven Falcon Buyer, LLC","North Haven Falcon Buyer, LLC",First Lien,,,,3541000.0,3559000.0,4266000.0,,83.01,7.5,6.15,,5.0,True,,,USD,3541000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"OEConnection, LLC | One stop 1 | Non-Affiliated Issuer","OEConnection, LLC","OEConnection, LLC",First Lien,,,,12296000.0,12202000.0,12249000.0,,100.38,4.5,8.14,,,False,,,USD,12296000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"OEConnection, LLC | One stop 2 | Non-Affiliated Issuer","OEConnection, LLC","OEConnection, LLC",First Lien,,,,3000.0,-6000.0,0.0,,-50.0,,,,,False,,,USD,3000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"OEConnection, LLC | One stop 3 | Non-Affiliated Issuer","OEConnection, LLC","OEConnection, LLC",First Lien,,,,26000.0,-26000.0,0.0,,-100.0,,,,,False,,,USD,26000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Bolt Purchaser, LLC | One stop 1 | Non-Affiliated Issuer","Bolt Purchaser, LLC","Bolt Purchaser, LLC",First Lien,,,,453000.0,453000.0,455000.0,,99.56,4.75,8.48,,,False,,,USD,453000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Bolt Purchaser, LLC | One stop 2 | Non-Affiliated Issuer","Bolt Purchaser, LLC","Bolt Purchaser, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CAP-KSI Holdings, LLC | One stop 1 | Non-Affiliated Issuer","CAP-KSI Holdings, LLC","CAP-KSI Holdings, LLC",First Lien,,,,12926000.0,13146000.0,13272000.0,,97.39,5.25,8.96,,,False,,,USD,12926000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CAP-KSI Holdings, LLC | One stop 2 | Non-Affiliated Issuer","CAP-KSI Holdings, LLC","CAP-KSI Holdings, LLC",First Lien,,,,893000.0,912000.0,924000.0,,96.65,5.25,8.97,,,False,,,USD,893000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CG Group Holdings, LLC | One stop 1 | Non-Affiliated Issuer","CG Group Holdings, LLC","CG Group Holdings, LLC",First Lien,,,,46478000.0,46436000.0,46828000.0,,99.25,5.5,9.25,,,False,,,USD,46478000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CG Group Holdings, LLC | One stop 2 | Non-Affiliated Issuer","CG Group Holdings, LLC","CG Group Holdings, LLC",First Lien,,,,162000.0,155000.0,168000.0,,96.43,7.5,9.14,,2.0,True,,,USD,162000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CG Group Holdings, LLC | One stop 3 | Non-Affiliated Issuer","CG Group Holdings, LLC","CG Group Holdings, LLC",First Lien,,,,429000.0,425000.0,432000.0,,99.31,5.5,9.25,,,False,,,USD,429000.0
