bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AGS Health LLC | Software & Services 1,AGS Health LLC,AGS Health LLC,,Software & Services,,,5232422.814202628,5412851.187106167,5412851.187106167,,96.67,4.5,,,,False,,,USD,5800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AGS Health LLC | Software & Services 3,AGS Health LLC,AGS Health LLC,,Software & Services,,,5232422.814202628,5412851.187106167,5412851.187106167,,96.67,4.5,,,,False,,,USD,5800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AGS Health LLC | Software & Services 2,AGS Health LLC,AGS Health LLC,,Software & Services,,,9923560.50969464,10194203.069049949,10284417.255501717,,96.49,4.3,,,,False,,,USD,11000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AGS Health LLC | Software & Services 4,AGS Health LLC,AGS Health LLC,,Software & Services,,,1894497.9154871586,1894497.9154871586,1894497.9154871586,,100.0,4.5,,,,False,,,USD,2100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Alacrity Solutions Group LLC | Insurance 1,Alacrity Solutions Group LLC,Alacrity Solutions Group LLC,,Insurance,,,3337924.8987154695,3337924.8987154695,3337924.8987154695,,100.0,6.3,,,5.3,True,,,USD,3700000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Alacrity Solutions Group LLC | Insurance 2,Alacrity Solutions Group LLC,Alacrity Solutions Group LLC,,Insurance,,,1533641.1696800806,1533641.1696800806,1533641.1696800806,,100.0,5.3,,,,False,,,USD,1700000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Alacrity Solutions Group LLC | Insurance 3,Alacrity Solutions Group LLC,Alacrity Solutions Group LLC,,Insurance,,,2074926.2883906974,2074926.2883906974,2074926.2883906974,,100.0,5.3,,,,False,,,USD,2300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,A-Lign Assurance LLC | Software & Services 1,A-Lign Assurance LLC,A-Lign Assurance LLC,,Software & Services,,,9562703.763887562,9743132.1367911,9833346.323242871,,97.25,4.5,,,0.0,False,,,USD,10600000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,A-Lign Assurance LLC | Software & Services 2,A-Lign Assurance LLC,A-Lign Assurance LLC,,Software & Services,,,2796639.780004853,2886853.9664566224,2886853.9664566224,,96.88,4.5,,,0.0,False,,,USD,3100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,A-Lign Assurance LLC | Software & Services 3,A-Lign Assurance LLC,A-Lign Assurance LLC,,Software & Services,,,1353212.7967765417,1353212.7967765417,1353212.7967765417,,100.0,4.5,,,,False,,,USD,1500000.0
