bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"CenterPeak Holdings, LLC | Secured Debt 2","CenterPeak Holdings, LLC","CenterPeak Holdings, LLC",Secured Debt,,,,25107000.0,25104000.0,25107000.0,,100.01,,15.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"CenterPeak Holdings, LLC | Preferred Equity","CenterPeak Holdings, LLC","CenterPeak Holdings, LLC",Preferred Equity,,,,25580000.0,3635000.0,,3310.0,703.71,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,CGMS Parent LLC | Secured Debt 1,CGMS Parent LLC,CGMS Parent LLC,Secured Debt,,,,-37000.0,-37000.0,0.0,,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,CGMS Parent LLC | Secured Debt 2,CGMS Parent LLC,CGMS Parent LLC,Secured Debt,,,,24612000.0,24612000.0,24844000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,CGMS Parent LLC | Preferred Equity,CGMS Parent LLC,CGMS Parent LLC,Preferred Equity,,,,10000000.0,10000000.0,,2000.0,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Congruent Credit Opportunities Funds | LP Interests (Congruent Credit Opportunities Fund III, LP)",Congruent Credit Opportunities Funds,Congruent Credit Opportunities Funds,LP Interest,,,,836000.0,308000.0,,,271.43,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Connect Telecommunications Solutions Holdings, Inc. | Secured Debt","Connect Telecommunications Solutions Holdings, Inc.","Connect Telecommunications Solutions Holdings, Inc.",Secured Debt,,,,23271000.0,23271000.0,23436000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Connect Telecommunications Solutions Holdings, Inc. | Preferred Equity","Connect Telecommunications Solutions Holdings, Inc.","Connect Telecommunications Solutions Holdings, Inc.",Preferred Equity,,,,12596000.0,12596000.0,,22304.0,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"DMA Industries, LLC | Secured Debt 1","DMA Industries, LLC","DMA Industries, LLC",Secured Debt,,,,560000.0,556000.0,560000.0,,100.72,,10.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"DMA Industries, LLC | Secured Debt 2","DMA Industries, LLC","DMA Industries, LLC",Secured Debt,,,,12800000.0,12757000.0,12800000.0,,100.34,,10.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"DMA Industries, LLC | Preferred Equity 1","DMA Industries, LLC","DMA Industries, LLC",Preferred Equity,,,,13674000.0,5944000.0,,5944.0,230.05,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"DMA Industries, LLC | Preferred Equity 2","DMA Industries, LLC","DMA Industries, LLC",Preferred Equity,,,,7883000.0,3893000.0,,3068.0,202.49,,15.0,,15.0,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Dos Rios Partners | LP Interests (Dos Rios Partners, LP)",Dos Rios Partners,Dos Rios Partners,LP Interest,,,,8027000.0,6032000.0,,,133.07,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Dos Rios Partners | LP Interests (Dos Rios Partners - A, LP)",Dos Rios Partners,Dos Rios Partners,LP Interest,,,,2549000.0,1915000.0,,,133.11,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Dos Rios Stone Products LLC | Class A Preferred Units,Dos Rios Stone Products LLC,Dos Rios Stone Products LLC,Equity,,,,0.0,2000000.0,,2000000.0,0.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"EIG Fund Investments | LP Interests (EIG Global Private Debt Fund-A, L.P.)",EIG Fund Investments,EIG Fund Investments,LP Interest,,,,37000.0,84000.0,,5000000.0,44.05,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FCC Intermediate Holdco, LLC | Secured Debt 1","FCC Intermediate Holdco, LLC","FCC Intermediate Holdco, LLC",Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FCC Intermediate Holdco, LLC | Secured Debt 2","FCC Intermediate Holdco, LLC","FCC Intermediate Holdco, LLC",Secured Debt,,,,30750000.0,28269000.0,30750000.0,,108.78,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FCC Intermediate Holdco, LLC | Warrants","FCC Intermediate Holdco, LLC","FCC Intermediate Holdco, LLC",Warrant,,,,14660000.0,3920000.0,,12.0,373.98,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Freeport Financial Funds | LP Interests (Freeport Financial SBIC Fund LP),Freeport Financial Funds,Freeport Financial Funds,LP Interest,,,,1546000.0,2337000.0,,,66.15,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Freeport Financial Funds | LP Interests (Freeport First Lien Loan Fund III LP),Freeport Financial Funds,Freeport Financial Funds,First Lien,,,,193000.0,671000.0,,,28.76,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FRG AcquireCo, LLC | Secured Debt 1","FRG AcquireCo, LLC","FRG AcquireCo, LLC",Secured Debt,,,,-17000.0,-17000.0,0.0,,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FRG AcquireCo, LLC | Secured Debt 2","FRG AcquireCo, LLC","FRG AcquireCo, LLC",Secured Debt,,,,8407000.0,8407000.0,8482000.0,,100.0,,13.5,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"FRG AcquireCo, LLC | Preferred Equity","FRG AcquireCo, LLC","FRG AcquireCo, LLC",Preferred Equity,,,,3500000.0,3500000.0,,3500.0,100.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"GFG Group, LLC | Secured Debt","GFG Group, LLC","GFG Group, LLC",Secured Debt,,,,14053000.0,14053000.0,14053000.0,,100.0,,8.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"GFG Group, LLC | Preferred Member Units","GFG Group, LLC","GFG Group, LLC",Preferred Equity,,,,10940000.0,4900000.0,,226.0,223.27,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Gulf Manufacturing, LLC | Secured Debt 1","Gulf Manufacturing, LLC","Gulf Manufacturing, LLC",Secured Debt,,,,2971000.0,2971000.0,3000000.0,,100.0,8.13,11.82,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Gulf Manufacturing, LLC | Secured Debt 2","Gulf Manufacturing, LLC","Gulf Manufacturing, LLC",Secured Debt,,,,36367000.0,36367000.0,37200000.0,,100.0,8.13,11.82,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Gulf Manufacturing, LLC | Member Units","Gulf Manufacturing, LLC","Gulf Manufacturing, LLC",Equity,,,,6500000.0,2980000.0,,438.0,218.12,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Gulf Manufacturing, LLC | Common Stock","Gulf Manufacturing, LLC","Gulf Manufacturing, LLC",Common Equity,,,,1450000.0,888000.0,,888.0,163.29,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Gulf Manufacturing, LLC | Preferred Equity","Gulf Manufacturing, LLC","Gulf Manufacturing, LLC",Preferred Equity,,,,5190000.0,2077000.0,,208.0,249.88,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Harris Preston Fund Investments | LP Interests (HPEP 3, L.P.)",Harris Preston Fund Investments,Harris Preston Fund Investments,LP Interest,,,,3736000.0,1297000.0,,,288.05,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Harris Preston Fund Investments | LP Interests (HPEP 4, L.P.)",Harris Preston Fund Investments,Harris Preston Fund Investments,LP Interest,,,,9535000.0,7694000.0,,,123.93,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Harris Preston Fund Investments | LP Interests (423 HAR, L.P.)",Harris Preston Fund Investments,Harris Preston Fund Investments,LP Interest,,,,1226000.0,750000.0,,,163.47,,,,,False,,,USD,
