bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"MRI Software LLC, Application Software, First Lien Term Loan 3",MRI Software LLC,MRI Software LLC,First Lien Term Loan 3,Application Software,,,2347000.0,2397000.0,2407000.0,,97.91,4.75,8.45,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"MRI Software LLC, Application Software, First Lien Revolver",MRI Software LLC,MRI Software LLC,First Lien Revolver,Application Software,,,1024000.0,1109000.0,1137000.0,,92.34,4.75,8.45,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"MRO Florida, Inc., Aerospace & Defense, First Lien Term Loan 1","MRO Florida, Inc.","MRO Florida, Inc.",First Lien Term Loan 1,Aerospace & Defense,,,16657000.0,16647000.0,16772000.0,,100.06,4.5,8.16,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"MRO Florida, Inc., Aerospace & Defense, First Lien Term Loan 2","MRO Florida, Inc.","MRO Florida, Inc.",First Lien Term Loan 2,Aerospace & Defense,,,1065000.0,1066000.0,1076000.0,,99.91,4.5,8.19,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"National Mentor Holdings, Health Care Services, Fixed Rate Bond",National Mentor Holdings,National Mentor Holdings,Fixed Rate Bond,Health Care Services,,,6647000.0,6319000.0,6435000.0,,105.19,,10.5,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Nellson Nutraceutical, LLC, Packaged Foods & Meats, First Lien Term Loan 1","Nellson Nutraceutical, LLC, Packaged Foods & Meats","Nellson Nutraceutical, LLC, Packaged Foods & Meats",First Lien,,,,2823000.0,2816000.0,2852000.0,,100.25,5.75,9.45,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Nellson Nutraceutical, LLC, Packaged Foods & Meats, First Lien Term Loan 2","Nellson Nutraceutical, LLC, Packaged Foods & Meats","Nellson Nutraceutical, LLC, Packaged Foods & Meats",First Lien,,,,9511000.0,9486000.0,9607000.0,,100.26,5.75,9.45,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Nellson Nutraceutical, LLC, Packaged Foods & Meats, First Lien Term Loan 3","Nellson Nutraceutical, LLC, Packaged Foods & Meats","Nellson Nutraceutical, LLC, Packaged Foods & Meats",First Lien,,,,-5000.0,-6000.0,0.0,,83.33,5.75,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Nellson Nutraceutical, LLC, Packaged Foods & Meats, First Lien Revolver","Nellson Nutraceutical, LLC, Packaged Foods & Meats","Nellson Nutraceutical, LLC, Packaged Foods & Meats",First Lien,,,,674000.0,669000.0,694000.0,,100.75,4.75,11.5,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"New Blackboard, LLC | Application Software | Preferred Equity",New Blackboard,New Blackboard,Preferred Equity,,,,1015000.0,1167000.0,,106836.0,86.98,,,,,False,,,USD,
