bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Looking Glass Investments, LLC | Member Units","Looking Glass Investments, LLC","Looking Glass Investments, LLC",Equity,,,,25000.0,125000.0,,3.0,20.0,,,,,False,,,USD,,,Unaffiliated,Member Units,,,2015-07-01,Specialty Consumer Finance,,,,,,,Financials,Diversified Financials,Common Equity,,"Looking Glass Investments, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,MCT Purchaserco Holding Inc. | Secured Debt 1,MCT Purchaserco Holding Inc.,MCT Purchaserco Holding Inc.,Secured Debt,,,,8838000.0,8838000.0,8944000.0,,98.81,5.5,9.2,,,False,,,USD,,,Unaffiliated,Secured Debt,,2030-12-02,2025-12-01,Manufacturer and Distributor of High-Voltage Disconnect Switches,,,,9.2,,,Industrials,Trading Companies & Distributors,First Lien,,MCT Purchaserco Holding Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,MCT Purchaserco Holding Inc. | Secured Debt 2,MCT Purchaserco Holding Inc.,MCT Purchaserco Holding Inc.,Secured Debt,,,,39284000.0,39284000.0,39656000.0,,99.06,5.5,9.17,,,False,,,USD,,,Unaffiliated,Secured Debt,,2030-12-02,2025-12-01,Manufacturer and Distributor of High-Voltage Disconnect Switches,,,,9.17,,,Industrials,Trading Companies & Distributors,First Lien,,MCT Purchaserco Holding Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,MCT Purchaserco Holding Inc. | Common Equity,MCT Purchaserco Holding Inc.,MCT Purchaserco Holding Inc.,Common Equity,,,,1139000.0,1139000.0,,1590287.0,100.0,,,,,False,,,USD,,,Unaffiliated,Common Equity,,,2025-12-01,Manufacturer and Distributor of High-Voltage Disconnect Switches,,,,,,,Industrials,Trading Companies & Distributors,Common Equity,,MCT Purchaserco Holding Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Microbe Formulas, LLC | Secured Debt 1","Microbe Formulas, LLC","Microbe Formulas, LLC",Secured Debt,,,,-24000.0,-24000.0,0.0,,100.0,5.5,,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Unaffiliated,Secured Debt,,2028-04-03,2022-04-04,Nutritional Supplements Provider,,,,,,,Cash & Equivalents,Cash & Equivalents,First Lien,,"Microbe Formulas, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Microbe Formulas, LLC | Secured Debt 2","Microbe Formulas, LLC","Microbe Formulas, LLC",Secured Debt,,,,24341000.0,24158000.0,24341000.0,,100.0,5.5,9.27,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-04-03,2024-11-20,Nutritional Supplements Provider,,,,9.27,,,Consumer Staples,"Food, Beverage & Tobacco",First Lien,,"Microbe Formulas, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Mini Melts of America, LLC | Secured Debt 1","Mini Melts of America, LLC","Mini Melts of America, LLC",Secured Debt,,,,2637000.0,2801000.0,2842000.0,,92.79,6.25,9.92,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-11-30,2023-11-30,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,,,,9.92,,,Consumer Discretionary,Consumer Durables & Apparel,First Lien,,"Mini Melts of America, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Mini Melts of America, LLC | Secured Debt 3","Mini Melts of America, LLC","Mini Melts of America, LLC",Secured Debt,,,,4472000.0,4758000.0,4821000.0,,92.76,5.25,8.92,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-11-30,2023-11-30,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,,,,10.92,,,Consumer Discretionary,Consumer Durables & Apparel,First Lien,,"Mini Melts of America, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Mini Melts of America, LLC | Secured Debt 4","Mini Melts of America, LLC","Mini Melts of America, LLC",Secured Debt,,,,4470000.0,4756000.0,4821000.0,,92.72,7.25,10.92,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-11-30,2023-11-30,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,,,,10.92,,,Consumer Discretionary,Consumer Durables & Apparel,First Lien,,"Mini Melts of America, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Mini Melts of America, LLC | Common Equity","Mini Melts of America, LLC","Mini Melts of America, LLC",Common Equity,,,,230000.0,525000.0,,524888.0,43.81,,,,,False,,,USD,,,Unaffiliated,Common Equity,,,2023-11-30,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,,,,,,,Consumer Discretionary,Consumer Durables & Apparel,Common Equity,,"Mini Melts of America, LLC"
